CellID,ClusterID,ClusterName
384,1,eL6
385,10,Astro
386,0,Astro
387,1,eL2/3
388,4,Astro
389,1,Smc
390,6,eL6
391,-1,NA
392,3,eL6
393,0,eL4
394,1,eL6
395,9,Oligo
396,3,Endo
397,0,eL6
398,1,eL4
399,1,eL2/3
400,-1,NA
401,3,eL6
402,6,eL2/3
403,7,eL5
404,-1,NA
405,6,Oligo
406,3,Astro
407,-1,NA
408,0,Astro
409,0,eL5
410,2,eL4
411,6,eL6
412,9,Smc
413,-1,NA
414,2,eL4
415,-1,NA
416,1,eL4
417,3,NPY
418,0,eL5
419,0,VIP
420,2,eL2/3
421,0,PV
422,2,Astro
423,0,Endo
424,5,eL2/3
425,2,eL2/3
426,4,eL2/3
427,0,eL2/3
428,5,eL2/3
429,6,eL4
430,-1,NA
431,2,eL2/3
432,0,eL2/3
433,6,eL6
434,-1,NA
435,1,eL2/3
436,7,PV
437,10,eL4
438,0,VIP
439,2,Oligo
440,3,eL4
441,5,Endo
442,-1,NA
443,1,eL4
444,-1,NA
445,3,eL2/3
446,9,Astro
447,2,Smc
448,3,eL2/3
449,0,eL4
450,0,eL6
451,1,eL6
452,0,eL2/3
453,3,eL4
454,6,eL2/3
455,6,eL5
456,3,eL5
457,3,eL4
458,3,Oligo
459,0,eL6
460,3,eL6
461,11,eL4
462,0,eL5
463,2,Oligo
464,3,eL4
465,11,eL4
466,11,eL6
467,7,eL4
468,3,eL2/3
469,3,eL5
470,0,eL2/3
471,-1,NA
472,7,eL5
473,-1,NA
474,3,eL6
475,5,eL6
476,3,eL6
477,2,eL5
478,3,eL6
479,3,PV
480,11,eL4
481,6,eL4
482,9,eL4
483,4,Smc
484,1,Endo
485,10,Oligo
486,1,eL2/3
487,-1,NA
488,1,Astro
489,0,SST
490,6,eL2/3
491,7,eL4
492,2,Astro
493,3,eL6
494,2,eL2/3
495,2,eL4
496,0,Astro
497,2,eL6
498,1,Astro
499,3,eL2/3
500,0,eL5
501,-1,NA
502,11,eL4
503,1,Endo
504,1,PV
505,1,Astro
506,2,SST
507,0,eL4
508,-1,NA
509,1,eL6
510,-1,NA
511,2,eL4
512,4,eL6
513,9,eL2/3
514,3,eL6
515,2,Endo
516,11,Oligo
517,8,eL2/3
518,7,eL2/3
519,4,eL2/3
520,1,eL4
521,-1,NA
522,0,eL4
523,1,Astro
524,7,Oligo
525,0,eL6
526,0,eL6
527,11,eL5
528,3,eL2/3
529,7,Astro
530,1,eL6
531,2,eL2/3
532,-1,NA
533,1,eL5
534,4,Endo
535,3,eL4
536,3,eL2/3
537,3,Smc
538,0,eL5
539,4,NPY
540,0,eL2/3
541,3,NPY
542,0,eL5
543,2,NPY
544,3,eL4
545,0,Astro
546,0,Oligo
547,-1,NA
548,-1,NA
549,0,Astro
550,1,eL4
551,2,SST
552,2,eL6
553,-1,NA
554,6,eL6
555,-1,NA
556,1,eL5
557,5,eL4
558,3,eL5
559,0,eL2/3
560,0,Astro
561,3,Astro
562,3,eL6
563,1,eL2/3
564,7,eL2/3
565,2,eL5
566,1,eL2/3
567,-1,NA
568,9,NPY
569,11,PV
570,3,eL2/3
571,3,eL2/3
572,4,eL2/3
573,-1,NA
574,0,eL2/3
575,3,eL6
576,3,eL6
577,5,eL6
578,1,eL5
579,-1,NA
580,1,eL4
581,1,eL5
582,1,eL6
583,3,eL5
584,3,Astro
585,0,NPY
586,-1,NA
587,-1,NA
588,0,PV
589,0,eL4
590,-1,NA
591,0,eL5
592,-1,NA
593,4,Astro
594,6,eL6
595,8,eL6
596,-1,NA
597,7,SST
598,7,eL6
599,0,eL6
600,7,eL6
601,5,Endo
602,5,Smc
603,-1,NA
604,5,eL4
605,-1,NA
606,-1,NA
607,11,eL4
608,7,Endo
609,5,eL2/3
610,-1,NA
611,4,eL4
612,-1,NA
613,1,eL6
614,3,eL2/3
615,0,Oligo
616,1,eL6
617,10,eL4
618,0,SST
619,2,VIP
620,2,eL2/3
621,6,Astro
622,1,Endo
623,-1,NA
624,3,SST
625,9,eL2/3
626,1,NPY
627,3,eL5
628,2,eL4
629,3,eL6
630,5,eL2/3
631,10,eL2/3
632,5,eL4
633,3,Smc
634,5,eL2/3
635,9,eL6
636,7,Oligo
637,3,eL4
638,4,Astro
639,0,SST
640,7,PV
641,-1,NA
642,3,eL6
643,11,eL5
644,4,SST
645,7,Astro
646,-1,NA
647,1,SST
648,4,eL5
649,0,eL6
650,3,eL4
651,1,NPY
652,3,NPY
653,1,eL4
654,2,eL2/3
655,5,eL6
656,7,Astro
657,1,eL6
658,3,Endo
659,1,Astro
660,10,Astro
661,0,eL4
662,-1,NA
663,6,NPY
664,-1,NA
665,-1,NA
666,3,eL6
667,3,SST
668,0,eL4
669,3,NPY
670,0,eL6
671,2,Oligo
672,-1,NA
673,4,eL2/3
674,0,eL6
